0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
9.546557505333056e-07,1.044388796231252e-06,0.0,9.828029604862806e-07,1.078169726973421e-06,0.0,2.559771081828881e-06,0.0,9.195418497213916e-07,0.0,1.0723886282802111e-06,1.0335940316899149e-06,0.0,1.520919877041454e-06,1.0178139014916884e-06,0.0,0.0,2.5726891188668167e-06,0.0,,0.0,0.0,1.4035145317294517e-06,0.0028539279859602154,0.0014659718819588071,0.0,2.505312257015008e-06,2.1658040281786074e-06,8.528797572904799e-07,0.00014010545757151154,0.0,1.3840885689104512e-06,2.1368811776721923e-06,0.00039509470742202734,0.0009437313015495329,0.0021098981580132455,0.0029657435455170754,0.0007369623937426018,0.0020624946959305413,0.0021770499095932674,0.005834973332647207,0.0019044494326320004,0.00030023233045539774,0.003292624897770639,0.0009556798602522311,0.0,,0.003847478910972766,0.006489175957656945,0.0017857000074464773,0.007799636746285539,0.0037506288987700356,0.006904678754814852,0.00799548762935861,0.0009912630403275612,0.0026394340854921034,0.00016541369001191989,0.004453340401043395,0.0035221940059514427,0.005060755220582234,0.004461053455094828,0.0005243331773500523,0.008959693680025157,0.0005236767091533201,0.010614080141357538,,0.004189619681224001,0.007427738656717318,0.008040595715281507,,0.012051940748186215,0.016675228639318907,0.010824451320648604,0.015540935676761035,0.005003603726600337,0.012323063307625467,0.007350325447203389,0.013228483172561173,0.008152621396091842,0.005894451459050403,,0.012307483329689098,0.01500088212267095,0.01206305975978003,0.011937351567036028,,0.013629342116518603,0.022614487114878845,,0.004434605675068265,0.011557609262121318,,0.030081785077783973,0.025946319044182018,0.012969618522666952,0.03592709026112116,0.018985626529966854,0.027491898877679298,,0.023476766657339408
9.367698624905085e-07,1.0335940316899149e-06,9.195418497213916e-07,9.280759112989501e-07,8.948560789855413e-07,9.324026211652865e-07,8.676803197201453e-07,1.0610104459379062e-06,1.3377976301577415e-06,1.0025083647051511e-06,0.0,8.869194135741282e-07,1.3937338632157795e-06,,1.7937339965507285e-06,1.3289085437373255e-06,,,2.8238247022070208e-06,0.0,1.0389633754215365e-06,9.828029604862806e-07,1.7937339965507285e-06,0.0,0.00030519092869580786,0.0,0.0,0.0,0.005325241488133373,2.9278192471990047e-06,0.0,0.000668195433822154,,0.00231611678680717,0.0008860833861689775,0.0,0.0,1.1869471039649144e-06,0.0012460951728381475,0.006632938650152062,,0.002995279809179271,0.0003795824104502238,0.00018638286416611916,0.001671970014738917,0.003040482896066606,0.0009514429572789716,0.002731529847236474,0.0046694062672965435,0.0006922747886973894,,0.0002181660971017226,0.0006409440642043541,1.0842215157250905e-05,0.0014291849331874306,0.0019502807370727487,0.006219360438353,,0.0005952780568133744,,0.0020842206546468223,0.00042610226762806634,0.0049328063062854775,0.009718301996345935,0.00641590187614497,5.608544607744144e-05,0.0045330666303694325,,0.003328720050212688,0.0011652025559491228,,0.010874096296846606,0.0040429334309260625,0.009086098008213462,,0.010723428876394396,0.015572368678230659,,0.017385465248878743,0.0007148552007539689,0.012936486480046621,0.024489704745493685,0.0020228974154445165,0.012117500708780206,0.02285222777058122,,0.02231934518783886,,,,,0.023431908887551724,,0.03242417998038445,0.026299404533181848,,0.029618289114981666,,,0.017200404734324437
9.367698624905085e-07,1.7467359937527118e-06,1.0075588059874573e-06,1.3651930140805735e-06,0.0008459999909085274,2.4924246634578436e-06,0.0,1.9323821823480055e-06,1.5564280884134828e-06,,1.8604785324618242e-06,0.0,1.269845535734152e-06,8.869194135741282e-07,0.0,0.00030639489905204113,2.303630418631843e-06,,9.456282391889954e-07,2.2271678393502646e-06,8.639322289025067e-07,2.1775065429468457e-06,8.213563905268425e-07,2.268793031466815e-06,0.0,1.4336978957250272e-06,0.0004482069098036054,1.0178139014916884e-06,,,0.0005493148586598138,,2.3538590296008394e-06,7.366490832572906e-07,0.0,0.0019040438070741087,0.0010696337816541888,7.161133236307832e-05,1.532574549115666e-06,,0.005424390814908726,0.0001471950739135133,0.001722206671332915,0.0,,0.005646414842715936,0.0002339623156369248,0.0004295182506420306,0.003096421884931048,0.002991625391280289,0.005499888117076466,0.005355344807042986,0.004534140626406537,0.0021642285679760514,,0.0010396374542577546,0.004946122931471057,,0.0013048858956762415,0.007310317527934867,0.006158729492190913,0.007588261925857038,0.005037040515870659,0.0032318551965586613,0.004046568041516064,,0.0005431167658896219,0.004499922174957446,0.007487234866316837,,,0.016188946828583232,0.0031902740393290026,,0.011121539987946485,0.0010326994511340383,,0.025390761004234496,0.016904563827171003,0.0034125258550494796,0.0025357177526772225,,0.022457272665346473,0.006141126431807146,0.02286855677408789,0.01705565720660317,,0.017084364283882277,,0.025717185596038163,,,,,0.02092342927565923,0.02781444622688533,0.019101510265874318,0.033945816891271734,0.025264325726860083,0.012423248877192861
1.5936339298362875e-06,,0.0,2.6754300572926447e-06,1.6736499341033037e-06,9.63857287191388e-07,1.286178066055852e-06,1.520919877041454e-06,0.0,1.0282799000837194e-06,2.1858141064384925e-06,,1.0666691950761767e-06,1.3937338632157795e-06,9.975083022044492e-07,0.0,8.080819073975952e-07,8.988779175652143e-07,,,,0.0016795170872236367,8.085652232148167e-05,0.0,,0.0009596962691522353,0.0,0.00021620041698699555,2.267100704245558e-06,9.324026211652865e-07,0.0015042242822239653,1.5444092187830974e-06,0.002523529446389102,0.002768555168724687,0.0,,6.17210251182967e-05,,0.0008685448481093191,0.0018038130579198608,0.0013423333289065997,0.00013214180389916567,0.0007329040384124628,,0.002700274123559284,0.005100315683848762,0.002211997335974941,0.004717110707640297,0.0011789734261795058,0.00010247374193164468,0.0005902247647355349,0.006622043002045229,0.0023337252223973744,0.006637995905348929,0.009152121558853126,0.0021936429444469265,0.009595520065554933,0.011564375338163443,0.006036558332863164,0.0011402911817784708,0.003047434840719397,0.012458951370852227,0.005400367857571253,0.002538271064571653,0.001323643744150566,,,0.008261864145387574,0.010409779449913684,0.01061766604989959,,0.0063954161106276304,0.005824806021061147,0.008048012620413537,0.006024014330643888,0.01550422606126945,,0.02344214477949755,0.01116880990062665,0.010886637783937883,0.013260738259224632,,,,0.014438886399098128,0.011266844398808254,0.0022992269104365713,,,0.013249880711219325,,0.012308871885089225,0.02225128356503677,0.016979218236670666,0.01977622269892762,0.026775741359899758,0.014898935697615752,0.027237343545477286,0.02773679070729497,0.03378000762978171
9.02936070906659e-07,9.975083022044492e-07,0.0,,1.4869956975009364e-06,8.791222946085114e-07,8.048300599424124e-07,0.0011136259855944143,8.714610737877099e-07,0.0,1.0389633754215365e-06,2.583544266127432e-06,9.779970588374716e-07,2.5484045024993976e-06,0.0,8.456672219061395e-07,2.369595419617152e-06,,,1.3377976301577415e-06,0.0,8.5653235839457e-07,1.8358109517972493e-06,1.2783133721840908e-05,8.948560789855413e-07,0.0011525949710028773,2.8547444424886347e-06,0.001190013272583316,9.685248951565905e-07,8.213563905268425e-07,0.00044328599503318006,,0.002049870453460858,9.280759112989501e-07,,0.0,,0.004581676052824584,0.002788190107912877,0.0002505795187476305,0.0011681810993740987,,0.0024330441561720532,,0.0014246143954045674,0.00263156962625282,0.006174091408836142,,0.00392828773155433,0.006871763703193169,0.0008095515309644837,0.0025765774664189946,,0.006595509441851917,0.004327638179380631,0.00286680561972933,0.008229358774314946,0.00877658267230633,0.016515414011753327,0.00783355221827001,0.00815136046648504,0.01294519348195077,0.002809425917417453,0.0003687345377877683,0.0027475772783478827,0.002098940520569122,0.007184766016887203,0.0077999363229473125,0.008062540074660281,0.004845595778093227,0.003815723519230007,0.008231646127592572,,0.0057262724484820025,0.00011190871020646349,,0.0010669588727193042,0.00976197071412435,0.004412416062029187,0.027172855180581965,0.015448227919963196,0.020433500834553378,0.01510373476743761,0.017656723108671835,0.012987841861245757,0.015101000832745527,,0.021850919289670964,0.015384109456667494,0.016621977222814714,0.0014285290056775183,0.010216879308354784,,0.020033253823116715,0.01634078228615509,0.025016279526712114,0.040725899116063044,,0.030576492876136493,
0.0,0.0,1.3114801092314388e-06,2.511949491783012e-06,0.0,8.948560789855413e-07,2.5178057639127895e-06,8.869194135741282e-07,0.0,0.0,9.975083022044492e-07,,,,,0.0,9.411782074866533e-07,1.4760214595224838e-06,8.988779175652143e-07,9.411782074866533e-07,0.0,9.456282391889954e-07,8.676803197201453e-07,1.646099827304874e-06,0.0,,0.0,0.004389657007270005,1.5444092187830974e-06,,0.0005732879262776258,8.830036418221122e-07,1.4134334446190588e-06,0.0,0.0023574452750495774,,0.00014839442457643723,0.00188323581249056,0.00395103164919799,0.0027647197072174995,0.0026475140147656138,0.0066857189771075,0.0008197595724397278,0.0012634523070754076,0.0018341658123581755,,0.00048695449704852257,9.942805558175592e-05,0.002723259594253358,0.0052497768070762455,0.003446982512605879,,0.001018923727245611,7.603357458612595e-05,0.0006661364752284502,0.0022910844635798027,4.536596862093006e-06,0.007287736600325377,0.001080982081089726,0.007790237628552104,0.006858954729931452,0.012378585865769632,0.004366469550851779,0.010127610464458913,0.000975889684128033,0.014435871107761018,0.012221157393858893,0.01035095881249868,0.0157176656270892,0.00995855327207825,0.010928630984096903,0.006038714615892175,0.0138342352626931,0.008668544642642412,0.0028983135808088355,0.016900673355887876,0.0163488058456465,0.008693744963506164,,,,0.015496494536413054,,0.011498802934764542,,,0.007439600991051579,0.016794727253273432,0.01551329625404941,0.015202144654149173,0.032274517919910733,0.02721440734058976,0.02834572214513098,0.004716439001371128,,,0.03338947519703551,0.010166399619728305,0.01563088034160088,
0.0,2.535598198737956e-06,9.975083022044492e-07,1.0389633754215365e-06,1.0498711772312754e-06,0.0,1.4440495946995444e-06,0.0009201911942755376,1.2618338386540353e-06,1.0230201333553306e-06,9.546557505333056e-07,9.280759112989501e-07,0.0,1.2461099501225416e-06,0.0,0.00023319320192250793,0.0,0.0,,0.0,8.528797572904799e-07,1.286178066055852e-06,,0.00011129393053189662,0.0020638177073343854,1.6064343394497937e-06,0.0,8.113601391303261e-07,0.0011656145711955294,0.0,0.0,9.676230457201476e-05,0.0026622870725368135,0.0005603674626948219,,0.0,0.002308565794651111,0.004435591186370155,0.001797186348283711,8.316020297327261e-07,0.0009089667017449644,0.0009956318914455943,,1.3114801092314388e-06,0.006126009856914833,0.0023054086197685183,0.0018816545912611594,0.0013497385188115624,0.001490693079538178,0.002407291360984662,0.0013750415573975036,0.007009458998998635,0.002602746978164245,0.008000928340317404,0.00084437454727413,0.0027164004409624604,,0.009081383022610509,0.0032154148990170676,0.0068504546322004055,0.008405080754607497,0.0012176623135542377,0.00707106928147652,0.011632669602917006,0.0009991160504203836,0.0002198111686908666,0.00440979143900373,0.0015631055160308014,0.0016955132457460518,,0.018907975895586293,0.011861301828996192,0.009471090884056649,0.009800265161690306,0.006026899852291407,,,,0.013587794394687259,,0.011303755581761218,0.01348599157452478,0.00306365499080485,,0.024697690340341787,0.009170627143580783,,,0.024789331155367737,0.013833164055133082,,,0.03387168625670836,0.030158935980517144,0.017559688126823212,,,,0.03472822036601185,0.024699469885154868
,9.685248951565905e-07,,6.630747429976823e-05,0.0005815465098348257,,,1.4134334446190588e-06,2.2099672373190253e-06,9.63857287191388e-07,1.0282799000837194e-06,1.3559373970747338e-06,,0.00023426260553894088,9.732379302348462e-07,0.00012897307996622657,1.055411420170199e-06,8.259115596746222e-05,2.2621398417491014e-06,0.0018179577887859645,8.988779175652143e-07,,,2.0846856021311815e-06,2.284734863801965e-06,0.0005937112741728474,0.0012947112920793289,9.975083022044492e-07,0.0021401995074232854,2.5489248540581954e-06,0.0,0.0011275508624400108,0.0005390560218880023,0.0020659513719351813,,9.070310330777968e-07,0.0033483550529014383,,0.0005077479518382293,0.0014817718308565697,0.000669204032287364,0.0020565968707168952,0.0005815305316580989,0.005019164079813942,0.002241713326474072,,0.0009186021100159847,0.0013083248108882763,0.0003561237063146005,0.0041699818922513185,0.002324254640147731,0.011860984471370862,0.00021524908509177763,0.006627442896973772,0.005035035903650148,0.0013242430886505545,0.011730048968605715,,0.0014887929787987507,0.004445862194139369,0.00715166877359443,0.003913787548417518,0.0022807666713565065,0.002764979773028569,0.017207594967083982,0.003182387620829591,0.0023835866283935204,0.00847410680874141,,0.012928080597714895,0.01715785575718061,0.00010858857910006278,,0.01117517297559151,0.0005279018643325298,0.003248978715186184,8.384717116541231e-05,0.011446688181203118,,0.010452219549098411,,,,0.021833828383327362,,0.0010050767535994408,0.014412906610411733,0.02817110282136343,0.025556400402027692,,,,0.017984416789413794,0.012220824407875754,,0.01887074161441552,0.029776110026060305,0.01276882263518735,,
1.0723886282802111e-06,9.237891712558549e-07,0.0,2.638231908891895e-06,2.476131404666914e-06,0.0,1.5564280884134828e-06,1.4234935537717891e-06,0.0,7.920802432198669e-07,2.07255740710931e-06,1.3289085437373255e-06,,1.2779596197535277e-06,8.714610737877099e-07,0.0,1.1730238904808044e-06,2.2876594372258404e-06,,,0.002883682399776249,1.0230201333553306e-06,9.195418497213916e-07,0.0,8.350742820947181e-07,0.0,0.0,,9.02936070906659e-07,2.1513253637611208e-06,0.000927881573958365,1.8433310209868688e-06,2.551705958078233e-06,,0.001971549787285827,0.0005010992114687738,,0.0027096871277882597,7.76700005278427e-07,0.0011672756012328345,0.0020150069889107933,0.00239995621089171,1.9596725085715624e-06,0.0022931662283851946,0.0014362617249931422,0.0013391760943388157,0.0029222517492718814,0.001985852268144443,0.0005998101657947305,0.002745879834967182,0.00954484470686704,0.003375288698050043,0.0005669486492035295,0.0060503812032526045,0.002199940132848154,,0.0028652571596990283,0.005131487105457078,8.752749199548917e-07,0.003793033941680372,0.0012317495129275868,0.004938283941825697,0.014017395047998468,0.0058180930580097115,0.003336065273044605,0.007116088078288977,,0.0016564131480202378,0.0021568357612149333,0.01621650158799523,0.008599687963288628,,0.007279308314455011,0.0028531087334228806,0.010541038408566576,0.0035599113527645075,,0.009286285186140317,0.015409754623662,0.009159735266498213,0.009533968903784563,,0.0009965240276485778,,0.030935128958396042,0.02004473632243588,0.004413804148082424,0.008925406213249713,,0.008833356923618162,,,0.032054383044126375,0.024657227508432522,0.015336114064770996,0.02650768234975056,,7.877045795843369e-05,,
0.0,,1.3201368062724678e-06,0.0,2.4755756275747596e-06,1.0723886282802111e-06,1.3840885689104512e-06,0.0,1.055411420170199e-06,,1.3937338632157795e-06,9.501205517214876e-07,0.0,9.153334054787764e-07,8.869194135741282e-07,0.0,1.0958931529241804e-06,,2.3504434846529753e-06,,0.0,9.975083022044492e-07,0.0008205280630891785,,,9.324026211652865e-07,0.0012959523294854493,0.0013875924817073528,8.791222946085114e-07,2.441713344702778e-06,0.0,0.00016758978221724952,8.048300599424124e-07,,,0.0003784553321731153,1.2461099501225416e-06,0.0007989437143035628,0.0033549189887482327,0.0006283846718585068,0.0001405837813348476,,0.00021993099973002545,,1.1396042229320678e-06,0.0024180422870241905,0.0028800412030907134,0.003662878868778105,0.0007627515590919367,0.003652257457692804,0.005083518170686826,0.003983717002912394,0.009509050943071057,0.0016591491437343482,,0.01369890311911803,0.0066643338112528094,0.005080181469454094,,0.0049770371323250235,0.004583352662352571,0.005880365978685807,0.0026395397211665325,0.002957542023031683,0.01147930820028963,0.004055102893598629,0.0020442034235494443,0.014182599999501645,,,0.002728748202354775,0.003306390273553221,0.01447563068190283,0.005273879068042003,0.0002440299357006655,0.0016162089997203278,0.00421596590232629,0.0139472772086002,0.009353875186652517,0.018569779179656788,0.005885083536331121,,,,,0.006057086809020776,0.016958691342057207,,0.013451735140802477,,,,,0.034574912228154855,0.030386376611716236,0.04192694349989658,0.0035582290099136623,0.02322519701788845,,0.007849603733181089
